TID,TH
TID_HINT_4,คุณสามารถยกเลิกการเล็งเป้าได้ด้วยการลากแป้นควบคุมกลับมาตรงกลาง
TID_HINT_5,การจับคู่จะอ้างอิงจากถ้วยรางวัลของบรอว์เลอร์ที่คุณเล่นด้วย ทำให้ง่ายต่อการเพิ่มถ้วยรางวัลด้วยบรอว์เลอร์ที่เพิ่งถูกปลดล็อคมาใหม่
TID_HINT_6,การมีบรอว์เลอร์มากขึ้นจะทำให้การไต่อันดับเพิ่มถ้วยรางวัลรวมเป็นไปได้ง่ายและได้รับรางวัลเพิ่มขึ้น
TID_HINT_7,กระสุนของไพเพอร์จะสร้างความเสียหายเพิ่มขึ้นตามระยะทาง
TID_HINT_8,ท่าไม้ตายของบาร์ลีย์จะรุนแรงเป็นพิเศษเมื่อใช้ในระยะใกล้ เนื่องจากขวดจะตกลงในพื้นที่เล็กๆ
TID_HINT_9,ทุกครั้งที่กระสุนของริโคกระดอน กระสุนจะเดินทางได้ไกลขึ้น
TID_HINT_10,คุณสามารถใช้งาน<ccc0033>แป้นควบคุมสีแดง</c>ที่ใดก็ได้บนด้านขวาของหน้าจอเพื่อโจมตีได้
TID_HINT_11,ทั้งการโจมตีปกติและท่าไม้ตายจะมีการโจมตีสองโหมด: แตะเพื่อโจมตีทันใจและลากเพื่อเล็ง
TID_HINT_12,การเล็งเป้าเหมาะสำหรับการคุมเส้นทางของเป้าหมายที่กำลังเคลื่อนที่
TID_HINT_13,การโจมตีทันใจเหมาะสำหรับการโจมตีที่ต้องตอบสนองรวดเร็วเมื่อคุณไม่มีเวลาที่จะเล็ง
TID_HINT_14,การโจมตีทันใจใช้งานได้ดีกับศัตรูที่อยู่ใกล้กับคุณ
TID_HINT_15,เมื่อคุณซ่อนอยู่ในพุ่มไม้ ศัตรูจะยังคงเห็นคุณได้ถ้าพวกเขาอยู่ใกล้คุณมากพอ
TID_HINT_16,การโจมตีทันใจจะโจมตีไปหาศัตรูที่อยู่ใกล้ที่สุดโดยไม่คำนึงถึงการเคลื่อนที่ของศัตรู
TID_HINT_17,การเล็งเป้าเหมาะสำหรับการโจมตีเข้าไปในพุ่มไม้เพื่อตรวจหาศัตรู
TID_HINT_18,การโจมตีทันใจใช้งานได้ดีกับศัตรูที่ยืนนิ่ง
TID_HINT_19,การโจมตีทันใจใช้งานได้ดีกับศัตรูที่เคลื่อนที่ตรงเข้าหาคุณหรือออกจากคุณ
TID_HINT_20,เมื่อคุณอยู่ในพุ่มไม้ ศัตรูจะมองเห็นคุณถ้าคุณโจมตีหรือรับความเสียหาย
TID_HINT_21,คุณสามารถใช้พุ่มไม้เพื่อซ่อนตัวจากศัตรูได้
TID_HINT_22,เมื่อคุณใช้โจมตีทันใจ อาวุธของคุณจะโจมตีออกไปแม้ไม่มีศัตรูอยู่ในระยะก็ตาม
TID_VS_TUTORIAL,รวบรวม<ce662f9>อัญมณี</c>ทั้งหมด
TID_USE_MANUAL_FIRE_TUTORIAL,ลาก<ccc0033>แป้นควบคุมสีแดง</c>เพื่อเล็ง!
TID_TUTORIAL_GOOD_JOB_2,เก่งมาก! <cff6633>แถบสีส้ม</c>จะแสดงกระสุนของคุณ ฉันจะใส่กระสุนให้เร็วที่สุดเท่าที่ทำได้
TID_TUTORIAL_GOOD_JOB_3,เก่งมาก! การโจมตีศัตรูจะชาร์จพลังให้กับ<cff9900>ท่าไม้ตาย</c>ของคุณ!
TID_TUTORIAL_GOOD_JOB_4,เก่งมาก!
TID_SPECTATE_PLAYER_BUTTON,ชม
TID_SPECTATE_FAILED,การเข้าชมล้มเหลว
TID_ACCOUNT_DISABLED_TEXT,บัญชีถูกปิดการใช้งาน
TID_ACCOUNT_DELETED_ON_REQUEST_TEXT,บัญชีนี้ถูกปิดการใช้เนื่องจากการขอให้ลบบัญชีและไม่สามารถกู้คืนได้อีกต่อไป
TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT,บัญชีนี้ถูกปิดการใช้งานเนื่องจากไม่มีความเคลื่อนไหวและไม่สามารถกู้คืนได้อีกต่อไป
TID_ACCOUNT_DELETION_WARNING_TITLE,คำเตือนการลบบัญชี
TID_ACCOUNT_DELETION_WARNING_TEXT,จากคำขอของคุณ บัญชีของคุณจะถูกปิดการใช้งานในไม่ช้า หากคุณเปลี่ยนใจ กรุณาติดต่อฝ่ายช่วยเหลือและสนับสนุนโดยเร็วที่สุดเพื่อยกเลิกคำขอลบบัญชี
TID_ACCOUNT_DELETION_WARNING_TEXT_PAST,จากคำขอของคุณ บัญชีของคุณจะถูกปิดการใช้งานในไม่ช้า หากคุณเปลี่ยนใจ กรุณาติดต่อฝ่ายช่วยเหลือและสนับสนุนโดยเร็วที่สุดเพื่อยกเลิกคำขอลบบัญชี
TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN,คุณอยู่ในคลับนี้อยู่แล้ว!
TID_CONFIRM_CHANGE_CLAN_TITLE,เปลี่ยนคลับหรือไม่?
TID_CONFIRM_CHANGE_CLAN,คุณอยู่ในคลับอยู่แล้ว! คุณต้องการจะเปลี่ยนคลับจริงหรือไม่?
TID_CONFIRM_CLAN_FULL_TITLE,คลับเต็ม!
TID_CONFIRM_CLAN_FULL,ไม่สามารถเข้าร่วม <clan> ได้ คลับนี้เต็มแล้ว!
TID_BUTTON_CHANGE,เปลี่ยน
TID_CLAN_JOIN_FAILED_IN_TUTORIAL,เล่นการฝึกสอนให้เสร็จสิ้นเพื่อเข้าร่วมคลับ
TID_CLAN_INTRO_INVITE,แชร์คำเชิญ
TID_INVITE_CLAN_TOKEN_ERROR,เกิดข้อผิดพลาดในการสร้างคำเชิญ
TID_ALLIANCE_INVITE_FAILED_NO_RIGHTS,เฉพาะประธานคลับเท่านั้นที่สามารถเชิญสมาชิกใหม่ได้
TID_FRIENDS_FACEBOOK_CONNECT,เชื่อมต่อ
TID_FRIENDS_PAGE_INVITE,แชร์คำเชิญ
TID_SHARE_GAME_ROOM_POST_MESSAGE,คลิกลิงก์นี้เพื่อเข้าร่วมทีมกับ <name> ใน Brawl Stars!
TID_SHARE_GAME_ROOM_POST_TITLE,เชิญมายังทีม
TID_ROOM_CODE_COPIED_TO_CLIPBOARD,คัดลอก ID ทีมไปยังคลิปบอร์ดแล้ว!
TID_ROOM_CODE_COPIED_TO_CLIPBOARD_CONFIRM,ตกลง
TID_TEAM_INVITE_BUTTON_LABEL,แชร์รหัส
TID_TEAM_INVITE_EXPIRED,คำเชิญจาก <NAME> หมดเวลาแล้ว
TID_TEAM_INVITATION_POPUP_TITLE,คำเชิญทีม
TID_TEAM_INVITATION_POPUP_ACCEPT,ยอมรับ
TID_TEAM_INVITATION_POPUP_REJECT,ปฏิเสธ
TID_TEAM_INVITATION_POPUP_MUTE,ปิดเสียง <NAME>\nเป็นเวลา 10 นาที
TID_BATTLE_ROYALE_5,ทะเลสาบพันบ่อ
TID_DAILY_COINS_COLLECTED_END_SCREEN,โทเค็นต่อสู้\nหมดแล้ว
TID_SHOP_REAL_MONEY_PURCHASES_DISABLED_SPECIAL_BUILD,การซื้อด้วยเงินจริงไม่เปิดใช้งานในบิวด์นี้
TID_SHOP_CHINA_WARNING,คำเตือน: สนุกอย่างรับผิดชอบ
TID_GATCHA_AD_STATUS_VIEW,ชมโฆษณา\nเพื่อเพิ่มหนึ่งรางวัลให้เป็นสองเท่า!
TID_GATCHA_AD_STATUS_VIEW_CHOISELESS,รับรางวัลเพิ่มขึ้น!
TID_GATCHA_AD_STATUS_OUT_OF_VIEWS,การชมต่อวันที่ใช้ไปแล้ว
TID_GATCHA_AD_STATUS_NO_VIDEO,ไม่มีวิดีโอให้ชม
TID_GATCHA_AD_CONTINUE_BUTTON_TITLE,ไปต่อ
TID_AD_DOUBLER_TITLE,เลือกรางวัลที่จะคูณสอง
TID_AD_DOUBLER_CONTINUE,ไปต่อ
TID_GATCHA_CONTINUE,ดำเนินการต่อ
TID_HINT_23,บรอว์เลอร์บางตัวจะเก่งกว่าตัวอื่นในบางอีเวนท์และบางแผนที่
TID_HINT_24,โดยทั่วไปแล้ว บรอว์เลอร์โจมตีไกลจะเก่งกว่าในแผนที่เปิดโล่ง
TID_HINT_25,โดยทั่วไปแล้ว บรอว์เลอร์โจมตีใกล้จะเก่งกว่าในแผนที่ที่มีสิ่งกีดขวางและพุ่มไม้
TID_SPEC_ABI_SELF_DESTRUCT,ระเบิดสั่งลา
TID_SPEC_ABI_SELF_DESTRUCT_DESC,เมื่อปืนใหญ่ของเพนนีถูกทำลาย มันจะยิงระเบิดออกมาเป็นครั้งสุดท้าย สร้างความเสียหาย <c00cc00><VALUE1></c> หน่วยต่อลูก
TID_EVENT_LIST_BRAWL,เล่น
TID_INVITE_COPIED_TO_CLIPBOARD,คัดลอกลิงก์คำเชิญไปไว้ในคลิปบอร์ดแล้ว!
TID_INVITE_COPIED_TO_CLIPBOARD_CONFIRM,ตกลง
TID_FRIEND_INVITE_POST_MESSAGE,คลิกลิงก์นี้เพื่อเพิ่ม <friend> เป็นเพื่อนใน Brawl Stars!
TID_FRIEND_INVITE_POST_TITLE,เชิญเพื่อน!
TID_ALLIANCE_JOIN_POST_MESSAGE,คลิกลิงก์นี้เพื่อเข้าร่วมคลับของฉันใน Brawl Stars!
TID_ALLIANCE_JOIN_POST_TITLE,เชิญเพื่อนให้เข้าร่วมคลับของคุณ!
TID_KEY_BAR_FULL,มีโทเค็น <VALUE> ชิ้น ถึงเวลาสู้แล้ว!
TID_HOMESCREEN_MODE_LOCKED,ไต่อันดับถ้วยรางวัลให้ได้ <COUNT> ถ้วยเพื่อต่อสู้ที่นี่!
TID_GAMEROOMS_PLAYERS_ONLINE,เพื่อนออนไลน์ <count> คน
TID_ARTILLERY_DUDE_SHORT_DESC,นักแม่นปืน
TID_HAMMER_DUDE_SHORT_DESC,ตัวแทงค์
TID_HAMMER_DUDE_DESC,แฟรงค์เหวี่ยงค้อนใส่ศัตรู เกิดเป็นคลื่นกระแทก ท่าไม้ตายของเขาจะเป็นการฟาดค้อนที่รุนแรงที่ทำให้ศัตรูติดสตัน!
TID_HAMMER_DUDE_WEAPON,ตะบันค้อน
TID_HAMMER_DUDE_WEAPON_DESC,แฟรงค์จะใช้เวลาเล็กน้อยเพื่อเงื้อค้อนก่อนตะบัน แต่การโจมตีนั้นจะรุนแรงมากจนเกิดคลื่นกระแทก
TID_HAMMER_DUDE_ULTI,คลื่นระเบิดพลัง
TID_HAMMER_DUDE_ULTI_DESC,การโจมตีที่รุนแรงที่สุดของแฟรงค์จะส่งคลื่นกระแทกที่ทำลายสิ่งรอบข้างและทำให้ศัตรูติดสตันเป็นช่วงเวลาหนึ่ง
TID_SPEC_ABI_STEAL_SOULS2,ช่วงชิงพลัง
TID_SPEC_ABI_STEAL_SOULS2_DESC,แฟรงค์ช่วงชิงพลังจากบรอว์เลอร์ที่เขาเอาชนะ แล้วนำมาเพิ่มความเสียหายให้กับตัวเอง <c00cc00><VALUE1>%</c> เป็นเวลา <VALUE2> วินาที!
TID_ONLINE_FRIENDS_TITLE,ผู้เล่นที่ออนไลน์
TID_BATTLE_ROYALE_TEAM_INTRO_TEXT,จงเป็นทีมสุดท้ายที่รอดชีวิต!
TID_VS_TEAM_SHOWDOWN,ทุกทีมพร้อมปะทะ!
TID_FIRST_WIN,โทเค็นดวงดาว
TID_BATTLE_END_TEAM_DEATHMATCH_VICTORY,ทีมของคุณคืออันดับ 1!
TID_HOMESCREEN_MODE_LOCKED_INFO,ปลดล็อคเมื่อมีถ้วยรางวัลครบ <count> ถ้วย
TID_HOMESCREEN_LEAGUE_BUTTON_TITLE,ถนนถ้วยรางวัล
TID_HOMESCREEN_LEAGUE_BUTTON_COLLECT,เก็บ
TID_LEAGUE_NAME_0,ไม้
TID_LEAGUE_NAME_1,ทองแดง
TID_LEAGUE_NAME_2,เงิน
TID_LEAGUE_NAME_3,ทอง
TID_LEAGUE_NAME_4,เพชร
TID_LEAGUE_NAME_5,ยอดฝีมือ
TID_LEAGUE_NAME_6,ชั้นนำ
TID_LEAGUE_NAME_7,ออลสตาร์
TID_SPECIAL_EVENTS,อีเวนท์รายวัน
TID_SPECIAL_EVENT,อีเวนท์พิเศษ:
TID_SPECIAL_EVENT_DESC,กลับมาดูทุกวันเพื่อเล่นอีเวนท์ประจำวัน!
TID_SPECIAL_EVENTS_MOD,อีเวนท์พิเศษ
TID_SPECIAL_EVENT_MOD_DESC,กลับมาตรวจสอบอีเวนท์พิเศษประจำวันเป็นประจำ!
TID_PLAYING_AGAIN,เล่นอีกครั้ง <c11ee11><NUMBER>/<NUMBER2></c>
TID_PLAYING_AGAIN_NO_PLAYERS,เล่นอีกครั้ง
TID_BRAWL_BOX_INFO_TITLE_1,ข้อมูลกล่องใหญ่
TID_BRAWL_BOX_INFO_1,"กล่องใหญ่หนึ่งกล่องจะให้รางวัลเทียบเท่ากับการเปิดกล่องบรอว์สามใบ อย่างไรก็ตาม จะมีบรอว์เลอร์ไม่กี่ตัวที่ได้รับค่าพลัง\n\nคุณจะได้รับการสุ่มสามครั้ง โดยแต่ละครั้งมีความเป็นไปได้ของรางวัลดังต่อไปนี้:\n\nค่าพลัง + เหรียญ : <NUM1>%\nบรอว์เลอร์ระดับแรร์ : <NUM2>%\nบรอว์เลอร์ระดับซูเปอร์แรร์ : <NUM3>%\nบรอว์เลอร์ระดับอีปิค : <NUM4>%\nบรอว์เลอร์ระดับมีธิค : <NUM5>%\nบรอว์เลอร์ระดับเลเจนดารี : <NUM6>%\nพลังดวงดาว : <NUM7>%\n\nนอกจากนี้ การสุ่มแต่ละครั้งจะมีโอกาส 25% ที่จะได้ตั๋วอีเวนท์, 9% ที่จะได้รับอัญมณี, 3% ที่จะได้รับแพ็คทวีคูณโทเค็น โปรดทราบว่าพลังดวงดาวสามารถใช้ได้กับบรอว์เลอร์ที่มีเลเวล 9 แล้วเท่านั้น เมื่อคุณปลดล็อครางวัลประเภทหนึ่งได้ครบทั้งหมดแล้ว เช่น บรอว์เลอร์ระดับแรร์ ความเป็นไปได้ที่จะได้รับรางวัลอื่นจะเพิ่มขึ้น โชค: เพื่อให้การเปิดกล่องบรอว์มีความยุติธรรมมากขึ้น จึงมีระบบโชคที่จะมีผลต่อความเป็นไปได้ในการได้รับบรอว์เลอร์ระดับเลเจนดารี การสุ่มแต่ละครั้งที่คุณไม่ได้บรอว์เลอร์ตัวใหม่ โชคของคุณก็จะเพิ่มขึ้น และเมื่อคุณได้บรอว์เลอร์ตัวใหม่แต่ละครั้ง โชคของคุณก็จะลดลงตามระดับความหายากของบรอว์เลอร์ที่คุณได้ เมื่อโชคสูงพอ คุณจะมีโอกาสที่จะได้รับบรอว์เลอร์ระดับเลเจนดารี ในขณะที่โชคที่มีน้อยหมายความว่าการได้รับบรอว์เลอร์ระดับเลเจนดารีตัวใหม่จะยากขึ้น การสุ่มในตอนต้นเกมได้ถูกกำหนดไว้แล้วเพื่อให้ทุกคนเริ่มต้นอย่างเท่าเทียมกัน"
TID_GATCHA_ERROR_NOT_ENOUGH_WINS,สะสมโทเค็นดวงดาวให้ได้ 10 ชิ้นเพื่อรับกล่องใหญ่!
TID_HERO_BUNDLE_19,ขุมทรัพย์ของเพนนี
TID_HERO_BUNDLE_20,ส่วนประกอบของแฟรงค์
TID_KEY_BAR_INFO,จำนวน<c33a5d7>โทเค็น</c>ที่คุณได้รับจากการต่อสู้\n\nโทเค็นมีไว้ใช้สำหรับเปิดกล่องบรอว์
TID_NEW_ONLINE_FRIEND,ผู้เล่นออนไลน์
TID_NEW_GAME_ROOM,ทีมใหม่
TID_KEY_BAR_TITLE,โทเค็นที่ได้จากการต่อสู้
TID_PLAYAGAIN_QUIT,ออก
TID_BATTLE_END_WAITING,กำลังรอผู้เล่นอื่น
TID_ERROR_REPLAY_WAITING,รีเพลย์กำลังรอดำเนินการ
TID_ERROR_REPLAY_NOT_POSSIBLE,รีเพลย์ใช้งานไม่ได้
TID_ERROR_SPECTATE_WAITING,การชมกำลังรอดำเนินการ
TID_ERROR_SPECTATE_NOT_POSSIBLE,ผู้เล่นยังไม่ได้ต่อสู้ในตอนนี้
TID_BRAWL_TV_STARTING,BrawlTV กำลังโหลด...
TID_ERROR_BRAWL_TV_WAITING,BrawlTV กำลังรอดำเนินการ
TID_BRAWL_TV_QUIT,BrawlTV #<NUM>
TID_ERROR_BRAWL_TV_TUNE_FAILED,ไม่มีอะไรฉายบน BrawlTV #<NUM> - กำลังเปลี่ยนช่อง
TID_BRAWL_TV_BATTLE_END_RETURN_HOME,วิดีโอต่อไปใน <NUM> วินาที
TID_BRAWL_TV_BATTLE_END_RETURN_HOME_SOON,ชมวิดีโอถัดไปอัตโนมัติ
TID_FIRST_WIN_INFO_SURVIVAL,รับ<cff8E1b>โทเค็นดวงดาว</c>เมื่อชนะผู้เล่นอื่นมาอยู่ในสี่อันดับแรกเป็นครั้งแรก
TID_TEAM_POPOVER_YOUR_ROOM,นี่คือทีมของคุณ
TID_ERROR_SPECTATE_NOT_POSSIBLE_TEAM,ทีมยังไม่ได้ต่อสู้ในตอนนี้
TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_THIS_TEAM,ไม่สามารถเข้าร่วมได้ คุณอยู่ในทีมนี้อยู่แล้ว
TID_TEAM_AD_JOIN_FAIL_FULL,ไม่สามารถเข้าร่วมได้ ทีมเต็มแล้ว
TID_HOMESCREEN_NOT_ENOUGH_TICKETS,ไม่สามารถเริ่มเกมได้ ตั๋วไม่พอ
TID_HOMESCREEN_TEAMS_NOT_SUPPORTED,อีเวนท์นี้ไม่รองรับการเล่นเป็นทีม
TID_GAME_MODE_UNLOCKED,ปลดล็อคแล้ว
TID_ERROR_SPECTATE_DISABLED,การชมถูกปิดการใช้งานชั่วคราวเนื่องจากเหตุผลทางเทคนิค
TID_SPECTATE_FOLLOW,กดเพื่อติดตาม:
TID_SPECTATE_FOLLOWING,กำลังติตดาม:
TID_FIRST_WIN_INFO_TICKETED_EVENT,รับ<cff8E1b>โทเค็นดวงดาว</c>จากการต่อสู้ครั้งแรก
TID_FIRST_WIN_INFO_TEAM_SURVIVAL,รับ<cff8E1b>โทเค็นดวงดาว</c>เมื่อชนะผู้เล่นอื่นมาอยู่ในสองอันดับแรกเป็นครั้งแรก
TID_FIRST_WIN_INFO_SURVIVAL_COMBINED,เล่นแข่งขันกับผู้เล่นคนอื่นและอยู่ในสี่อันดับแรกในโหมดเล่นคนเดียวหรือสองอันดับแรกในโหมดเล่นเป็นคู่เพื่อรับ<cff8E1b>โทเค็นดวงดาว</c>
TID_CONNECTING_WAIT_FOR_SPECTATE,กำลังรอเพื่อเข้าชม...
TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS,ชมโฆษณา\nเพื่อเพิ่มหนึ่งรางวัลให้เป็นสองเท่า!\nยังชมได้อีก <VIEWCOUNTREM> ครั้งในวันนี้
TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW,ชมโฆษณา\nเพื่อเพิ่มหนึ่งรางวัลให้เป็นสองเท่า!\nยังชมได้อีก <VIEWCOUNTREM> ครั้งในวันนี้
TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS_CHOISELESS,รับรางวัลเพิ่มขึ้น!\nรับชมได้อีก <VIEWCOUNTREM> ครั้งในวันนี้
TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW_CHOISELESS,รับรางวัลเพิ่มขึ้น!\nรับชมได้อีก <VIEWCOUNTREM> ครั้งในวันนี้
TID_CANNON_DAMAGE,ความเสียหายปืนใหญ่
TID_CANNON_HEALTH,พลังชีวิตปืนใหญ่
TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER,ผู้เล่นนี้มีคำขอเป็นเพื่อนรออยู่มากเกินไป โปรดลองอีกครั้งในภายหลัง
TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU,คุณได้ส่งคำขอเป็นเพื่อนมากเกินไป ลบคำขอออกหนึ่งรายการแล้วลองอีกครั้ง
TID_ADD_FRIEND_ERROR_GENERIC,ไม่สามารถส่งคำเชิญเพื่อนได้ โปรดลองอีกครั้งในภายหลัง
TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST,ผู้เล่นที่ท่านพยายามเพิ่มเพื่อนไม่มีอยู่
TID_ADD_FRIEND_ERROR_OWN_AVATAR,ไม่สามารถเชิญตัวเองเป็นเพื่อนได้!
TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER,เพื่อนของคุณมีเพื่อนมากเกินไป โปรดลองอีกครั้งในภายหลัง
TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU,คุณมีเพื่อนมากเกินไป ลบเพื่อนออกสักคนหากต้องการเพิ่มเพื่อนใหม่
TID_HINT_26,เพนนีสามารถสร้างความเสียหายอย่างรุนแรงได้ด้วยการโจมตีแบบกระจายหากเป้าหมายของเธอเรียงเป็นแถวตอน
TID_HINT_27,การมีทีมจะช่วยให้คุณวางแผนก่อนการต่อสู้และเลือกบรอว์เลอร์ที่เหมาะสมได้
TID_HINT_28,ลองเล่นเกมฉันมิตรเพื่อฝึกเล่นในอีเวนท์ต่างๆ จัดการแข่งขันฉันมิตร และอีกมากมาย!
TID_HINT_29,หลังการเล่นแมตช์ที่สนุกๆ กับเพื่อนร่วมทีมคนใหม่ คุณสามารถกดเล่นอีกครั้งเพื่อเล่นกับพวกเขาอีก!
TID_HINT_30,เกมฉันมิตรจะให้คุณเลือกอีเวนท์และแผนที่ใดก็ได้ และบรอว์เลอร์ก็จะได้รับการอัปเกรดจนเต็ม!
TID_HINT_31,แฟรงค์จะหยุดครู่หนึ่งเพื่อโจมตีและใช้ท่าไม้ตาย ทำให้ศัตรูของเขามีโอกาสหนีให้พ้นจากระยะการโจมตีของเขา
TID_EXPERIENCE,ประสบการณ์
TID_HINT_32,อีเวนท์ที่ได้รับตั๋วจะไม่ใช้แถบโทเค็นในการเล่น แต่จะใช้ตั๋วแทน
TID_HINT_33,คุณสามารถเชิญสมาชิกคลับจากรายชื่อสมาชิกคลับมาเป็นเพื่อนของคุณได้
TID_HINT_34,คุณสามารถเชิญผู้เล่นจากทีมมาเป็นเพื่อนของคุณได้
TID_HINT_35,หลังจากได้เล่นแมตช์ดีๆ กับใครสักคน คุณสามารถเชิญพวกเขาจากรายชื่อเพื่อนที่แนะนำมาเป็นเพื่อนของคุณได้
TID_HINT_36,คุณสามารถเชิญผู้เล่นจากทีมมาเป็นเพื่อนของคุณได้
TID_HINT_37,คุณสามารถใช้ปุ่มโฆษณาเพื่อโฆษณาทีมของคุณไปยังเพื่อนและสมาชิกคลับได้
TID_COOP_GENERATED,อารีน่าตะลุมบอน
TID_MECHANIC_KNIGHT_SKIN,อัศวินมังกรเจสซี่
TID_FRANK_CAVEMAN_SKIN,คนถ้ำแฟรงค์
TID_SOLO,คนเดียว
TID_DUO,ทีมคู่
TID_INVITE_FRIEND_TOKEN_ERROR_FRIENDS_FULL,รายชื่อเพื่อนเต็ม!
TID_INVITE_FRIEND_TOKEN_ERROR_TOO_MANY,มีคำเชิญมากเกินไป โปรดลองอีกครั้งในภายหลัง
TID_INVITE_FRIEND_TOKEN_ERROR,การเชิญเพื่อนเกิดข้อผิดพลาด
TID_GOLDRUSH_9,สระทมิฬ
TID_TEAM_JOIN_FINISH_TUTORIAL,เล่นการฝึกสอนให้เสร็จสิ้นเพื่อเข้าร่วมทีม
TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_TITLE,ล็อกอินล้มเหลว
TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED,Brawl Stars Beta ยังไม่เปิดให้บริการในประเทศของคุณ โปรดกลับมาตรวจสอบในภายหลัง!
TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_BUTTON,ตกลง
TID_CROW_PHEONIX_SKIN,ฟีนิกซ์โครว
TID_MECHANIC_SUMMER_SKIN,เจสซี่ ชุดฤดูร้อน
TID_HERO_SCREEN_DIM_COLOR_MUL,222222
TID_FREE_BOX_AVAILABLE_0,รางวัลแจกฟรีกำลังรอคุณอยู่!
TID_FREE_BOX_AVAILABLE_1,รับรางวัลแจกฟรีตอนนี้เลย!
TID_FREE_BOX_AVAILABLE_2,รับรางวัลแจกฟรีก่อนที่จะหายไป!
TID_FREE_BOX_AVAILABLE_3,รางวัลแจกฟรีกำลังรอคุณอยู่!
TID_FREE_BOX_AVAILABLE_4,รับรางวัลแจกฟรีตอนนี้เลย!
TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP,ร็อคสตาร์\nโคลท์
TID_ROCKET_BEACH_SKIN_SHOP,บร็อค\nชุดชายหาด
TID_CACTUS_PINK_SKIN_SHOP_OLD,สไปค์\nชมพูหวาน
TID_SHAMAN_PANDA_SKIN_SHOP,แพนด้า\nนิต้า
TID_CROW_WHITE_SKIN_SHOP,ไวท์\nโครว
TID_BULL_HAIR_SKIN_SHOP,ไวกิ้ง\nบูล
TID_TRICKSHOT_GOLD_SKIN_SHOP_OLD,ริโคเชต์\nจ้าวเหรียญทอง
TID_BARKEEP_GOLD_SKIN_SHOP,บาร์ลีย์\nสีทอง
TID_LUCHADOR_RUDO_SKIN_SHOP,วายร้าย\nปรีโม่
TID_SHOTGUN_BANDITA_SKIN_SHOP,จอมโจร\nเชลลี่
TID_LUCHADOR_KING_SKIN_SHOP,ราชันย์\nปริโม่
TID_MECHANIC_KNIGHT_SKIN_SHOP,อัศวินมังกร\nเจสซี่
TID_FRANK_CAVEMAN_SKIN_SHOP,คนถ้ำ\nแฟรงค์
TID_MECHANIC_SUMMER_SKIN_SHOP,เจสซี่\nชุดฤดูร้อน
TID_CROW_PHEONIX_SKIN_SHOP,ฟีนิกซ์\nโครว
TID_GOLDRUSH_10,โถงเสียงสะท้อน
TID_BANKHEIST_5,รั้วหรรษา
TID_BATTLE_ROYALE_D7,ซูเปอร์นักช็อป
TID_BATTLE_ROYALE_8,รุกล้ำเกาะ
TID_BATTLE_ROYALE_6,ถ้ำวกวน
TID_CLAN_CHAT_JUMP_TO_NEW,ข้อความใหม่ <count> ข้อความ
TID_CLAN_CHAT_NEW,ใหม่
TID_BANKHEIST_6,เปย์ให้แหลก
TID_GOLDRUSH_11,เหมืองน้ำท่วม
TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_ANDROID,คุณต้องดาวน์โหลด Brawl Stars Beta จาก Google Play Store (เปิดให้บริการในบางประเทศ) ไม่รองรับอุปกรณ์ที่รูทในตอนนี้ โปรดกลับมาตรวจสอบในภายหลัง!
TID_RATE_APP_MESSAGE_ANDROID,กรุณาให้คะแนนหรือรีวิว Brawl Stars ที่ Play Store เพื่อให้ผลตอบรับอันมีค่ายิ่งแก่เรา!
TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT_TITLE,ล็อกอิน Google Play ใหม่
TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT,คุณต้องการบันทึกเกมปัจจุบันกับบัญชี Google Play นี้หรือไม่?
TID_SHOWDOWN_END,ศึกประจันหน้า!
TID_SETTINGS_FIXES_JOYSTICK,ล็อคแป้นควบคุมการเคลื่อนไหว
TID_SETTINGS_SC_ID,SUPERCELL ID
TID_LANGUAGE_LOCALIZED_NAME,ไทย
TID_POPUP_CHANGE_LANGUAGE_TITLE,ต้องการเปลี่ยนภาษาหรือไม่?
TID_POPUP_CHANGE_LANGUAGE,คุณแน่ใจหรือไม่ว่าต้องการเปลี่ยนภาษา?
TID_SKIN_RARITY_1,<cffffff>คอมมอน</c>
TID_SKIN_RARITY_2,<c0070dd>แรร์</c>
TID_SKIN_RARITY_3,<ca335ee>อีปิค</c>
TID_SKIN_RARITY_4,<cff8000>เลเจนดารี</c>
